Farmacia ;latitude;longitude
Farmàcia de Oleza Roncal, M. Pilar;2.1269244;41.3626349
Farmàcia Andrades Francia, Àngels i Josep Lluís;2.1253578;41.3650336
Farmàcia Hernández Alonso, M. Ángeles;2.1232145;41.3621693
Farmàcia De Bolós Giralt, Núria;2.1194856;41.3590776
Farmàcia Luca Gallego, M. Pilar;2.1178734;41.3543032
Farmàcia Josefina Costa;1.7346896;42.2287616
Farmàcia Lozano Salvatella, Joan Josep;2.1767217;41.4318264
Farmàcia Aranda;2.1780111;41.4303951
Farmàcia Lucea Teruel, Esther;2.1792112;41.433717
Farmàcia Cladellas Oliveras, Telma;2.0724375;41.5291563
Farmàcia Oliveras Massana, M. Àngels;2.0778652;41.5349821
Farmacia Rabassa;2.2107294;41.4425678
Farmàcia Sant Pau del Camp;2.1690953;41.3764198
Farmàcia Montaner Rogado, Yolanda;2.1708742;41.378022
Farmàcia Nofre Mercader, Berta;2.2686879;42.0442013
Farmàcia Jaume Tura;2.0182221;41.36809
Farmàcia Lasmarias Palos, Arturo;2.1752838;41.3845553
Farmàcia Viayna;2.2477174;41.4547454
Farmàcia Martinez Codina, Marc;2.0072442;41.308543
Farmàcia Ibáñez;2.0033024;41.3098744
Ldo. Francisco García-Vela;2.0028731;41.3076604
Llicenciada Imma Vicén Carbó;2.2060386;41.416416
Farmàcia Balasch Terradellas, Martí;2.1770667;41.4089399
Farmàcia Esquerrà Gimeno, Sergio;2.1814017;41.406082
Farmàcia Sánchez Aparicio, Raquel;2.1397402;41.3709031
Farmàcia Subirà Claramunt, Jordi;2.1388753;41.3696251
Farmacia Provença 156;2.1524822;41.3878106
Farmàcia Herrero Oliver, M. Consol;2.1850032;41.4403511
Farmàcia Sunyer i Lefort, Jordi;2.142307;41.4114618
Farmàcia Olivella Comas, Mercedes;2.1803522;41.403655
Farmàcia Rivero Moreno, Beatriz;1.9975631;41.3047216
Farmàcia Cruset Garrell, Núria;2.0951319;41.5601246
Farmàcia Colomina Brusau, M. Rosa;2.095087;41.5581798
Farmàcia García Lara, Isabel;2.2085;41.45198
Farmàcia Ubalde Llacayo, Natàlia;2.212934;41.4470735
Lda. Ana Puigcarbó Rafel;2.2146747;41.4478418
Farmàcia Mª Pilar Bladé Vinaixa;2.2106153;41.4471287
Farmàcia Ale Oller, Enric i Alícia;2.2079125;41.4479999
Farmàcia Chavarría Lameyre, Francesc;2.2165857;41.4485439
Farmàcia Puigcarbó Duarte - Salvador Puigcarbó;2.2170812;41.4522579
Farmàcia Bétulo;2.2501201;41.4527136
Farmàcia Adela Aguilar Calvo;2.2472768;41.4501038
Farmàcia Siñol Poch, M. Teresa;2.0033751;41.3044646
Farmàcia M. Carme Pugès Crisol;2.0008891;41.3023258
Farmàcia Soriano Santigosa, Roser;2.2087694;41.4556579
Farmacia M.M Roselló Pons;2.2063567;41.4544649
Farmàcia Isla Carranza;2.1192464;41.3771897
Farmàcia Serra Simón, Susanna;2.187383;41.4262731
Llic. M.C. Figueras Remolat;2.2171156;41.4459938
Farmàcia Adsarà Grau, Jordi;2.2165437;41.4471418
Farmàcia M. Blasco;2.2265376;41.4524906
Farmàcia Montserrat Martorell Justribó;2.2104828;41.4523336
Farmàcia Sánchez Moratos, Josefa;2.004957;41.3057548
Farmàcia Paz Donoso, Carme;1.9988053;41.3065033
Farmàcia Muñoz Mendez, Daniel;2.0088105;41.3046341
Farmàcia Laguna;2.1752469;41.40527
Farmàcia Riaza Soler - Gispert Serrats;2.1258408;41.3805817
Farmacia Guerra;2.1527779;41.4024315
Farmàcia Veciana Borrás, M. Concepción;2.1587343;41.4045145
Farmàcia Domingo Esgleyes, Míriam;2.1507105;41.4053041
Farmàcia Guerra Masats, Maria;2.1506816;41.3896561
Farmàcia Pascual Serra, Marta;2.1551764;41.4013552
Farmacia Marta Grau;2.1204842;41.3897403
Farmàcia Carbó Pallarés, Julio-Francisco;2.1423258;41.4220453
Farmàcia Gardella Roca, Neus;2.1471603;41.4231784
Farmàcia Caus Ruiz, Isabel - Basora Farré, Carles;2.1619319;41.3850083
Farmàcia Ruiz de Bustillo;2.0889887;41.4738622
Farmàcia M. Teresa Blasi Gutierrez;2.2980797;41.6013793
Farmàcia Prat Noguera, Roser;2.184027;41.4007844
Farmàcia Huertas;2.1277209;41.3788027
Farmàcia Jimenez Tort, Sílvia;1.8139253;41.5018811
Farmacia Llic.Carles Mena i Obiols;2.3679129;41.5261564
Farmacia Bastida-Sicart;2.1607109;41.4013185
Farmàcia Maria Loreto Cardellà Pou;2.1812194;41.4303531
Farmàcia Rosa Maria Triginer Batalla;2.1395282;41.4185914
Farmàcia Esther Herrera Guillén;2.088015;41.3247619
Farmàcia Víctor Milà Prünte;2.0892646;41.3229462
Farmàcia Álvarez Rodríguez - Quintana Tomàs;2.0934694;41.3311822
Farmàcia Neus Falcó Ferrer;2.095426;41.3268809
Farmàcia Simón;2.1177342;41.3758686
Farmàcia Peypoch;1.967845;41.4128628
Farmàcia Barri Seniches, M. Carme;2.1581269;41.407653
Farmàcia Tomas Gustin, Tomas;2.1584737;41.4073716
Farmàcia Fernández León, Vanessa;2.1817293;41.3717896
Farmàcia Lluís Benazet - R. i X. Benazet Homedes;1.810066;41.2401206
Farmàcia Pérez Sánchez, Jaume;2.1580868;41.4229812
Farmàcia Clave Bullich, Elisa;2.162453;41.4238495
Farmàcia Olius Mas, Jordi;2.1552548;41.423936
Farmàcia De la Iglesia Perelló, Lorena;2.1575799;41.4253291
Vilaseca;2.2135284;41.5407266
Barbero;2.2101397;41.5413935
Farmàcia Ariño Porta, Mercedes;2.1881188;41.3815974
Farmàcia M. Àngels Isern Perramon;2.0727951;41.4447451
Farmàcia Maria Antònia Viu;1.8217924;42.0774985
Farmàcia Tres Creus;2.1171732;41.5463688
Farmàcia Martínez Marin, Ildefonsa;2.2083848;41.5366885
Farmàcia González Orozco, Domira;2.1695952;41.4421635
Farmàcia Zalacaín;2.169692;41.4381828
Farmàcia Llavayol;2.1755056;41.4386152
Farmàcia Verdum 2;2.1724667;41.4356175
Farmàcia Picas;2.1745367;41.4306264
Farmàcia Espona Meseguer, Núria;2.1680412;41.387509
Farmàcia Estivill;2.1165524;41.3770594
Farmacia Esteve;2.230342;41.9150496
Farmàcia Aranalde;1.8049489;41.73893
Farmàcia Carme Simats Vila;1.8041113;41.742146
Farmàcia Ricard Pradell;1.8049192;41.7477215
Farmàcia Solà Gubianas;1.8036346;41.7455464
Farmacia A.M Orus Prats;2.2139941;41.4492602
Farmàcia Hernandez Herraiz, Adoracion de los Reye;2.2139071;41.4502602
Farmàcia Serrano Beseran, Montserrat;2.209468;41.4455789
Farmàcia Castelló López, Rosa Maria;2.2106626;41.4543647
Farmàcia Sílvia Soriano Guimerà;2.2131429;41.4527112
Farmàcia Pujol;2.2237758;41.4494731
Farmàcia Sant Bernat;1.8871545;41.5469077
Farmàcia Jimenez Castelltort, Laura;2.1432103;41.3951306
Farmàcia M.Teresa Roca de Haro;2.1239979;41.3750461
Farmàcia Rodas;2.1198511;41.375012
Farmacia les Corts;2.1296664;41.3829679
Farmacia Ldo. Jesús García Ibáñez;2.0844197;41.3607488
Farmàcia Aguirre Canyadell, Montserrat;2.1609175;41.3739469
Farmàcia Satorres Lapeña, Manuel;2.2098418;41.5333409
Farmàcia Batallé;2.0061965;41.5602195
Farmàcia Tello Muñoz, Gemma;2.1522228;41.403036
Farmàcia Tröger González, Stefanie;2.150339;41.4032686
Farmàcia Alegre Ribalta, Esther;2.6256305;41.6032125
Farmacia Vilardell;1.8758015;41.7531761
Farmàcia Fuentes;1.8736839;41.7519568
Farmàcia Saz Carazo, Raquel i Mercedes;2.1756301;41.4428831
Farmàcia Les Planes;2.0914666;41.434534
Farmàcia Culleré Cosidó, M. Antònia;2.0211763;41.3162704
Farmàcia Paricio Toledo, Jesus Carlos;2.1787601;41.381529
Farmàcia Guiteras García, Maria Carme;1.9161979;41.4809024
Farmàcia Domínguez;2.3113561;41.4774254
Farmàcia Costa;2.1163385;41.3757028
Farmàcia Garcés Bometón, Sonia;2.1630604;41.3742972
Farmàcia Morales Febrer, Carles;2.1644987;41.3738458
Farmacia Vivas;2.6903589;41.6243026
Farmàcia Montaña;2.2909299;41.6156113
Farmacia Badia;2.6873961;41.6238759
Farmàcia Geronés;2.0084881;41.3958206
Farmàcia Rosselló;2.0102983;41.3969879
Farmàcia Herreros;2.0063692;41.3997561
Farmàcia Corral Serrano, M. Carme;2.1847584;41.4504768
Farmàcia Gemma Font;2.2834572;41.6083629
Farmàcia Aymar;2.3086162;41.4867525
Farmàcia Viamar;2.3209131;41.4795465
Farmàcia Arimany;2.2889563;41.6089536
Farmàcia Carrión Ribas, Joan Anton;2.120289;41.7518327
Farmàcia Bellavista;2.2874427;41.6018518
Farmàcia Riera Blanca;2.1269597;41.3720041
Farmàcia Espinosa Duro, Maria Isabel;2.2398598;41.944889
Farmàcia Lavila Godayol, Gemma;2.1568287;41.3930495
Farmàcia Garrido Blanch, Marc;2.1574701;41.3918448
Farmàcia Sánchez Arias, Begoña;2.2145782;41.5337681
Garnés;2.2092052;41.5430492
Salvador Rovirosa;2.2144016;41.5369776
Amadó;2.2135395;41.5386308
Farmàcia C. Gimeno Domínguez;2.1411131;41.4248731
Farmàcia Xalabarder Miramanda, Avel·lí;2.2043058;41.4045602
Farmàcia Magrinyà Rull, Josep i Jordi;2.2061286;41.4021586
Farmàcia Oriol Carreras, Marina;2.2023;41.4012401
Farmàcia Prats Genis, M. - Centellas Prats, M.;2.2027304;41.4000842
Farmàcia García Moros, M. Pilar;2.204458;41.4028843
Farmàcia Teixidó González, M - González Roger, N;2.2068807;41.4047252
Farmàcia Pérez Fleitas, Dàcil;2.2019129;41.4055342
Farmàcia Clanxet Wust, Pilar;2.2117058;41.4052437
Farmàcia C. Marqueta Ariño - E. García Marqueta;2.2102018;41.4081851
Farmàcia Amargós Bosch, M - Bosch Causadias, T;2.1453548;41.3885437
Farmàcia Montes Corrales, Manuel;2.0116187;41.312131
Farmàcia Palacios Aguilar, Enrique;1.9999509;41.3994747
;2.0858445;41.5581711
Farmàcia Torras;2.2103229;41.6750359
Farmàcia Pilar Lozano;2.2134568;41.6740835
Farmàcia Martin Garcia, N / Vila Torrecilla, A;2.1820516;41.3969343
La Farmàcia de l'Autònoma;2.1035447;41.5020468
Farmàcia Boncompte Giné;2.1665051;41.440243
Farmàcia Wellington;2.1877373;41.3910479
Farmàcia Fando Reynes, Neus;2.1945018;41.3908955
Aragó,1 farmàcia;2.1459972;41.3782854
Farmàcia Meresman;2.1135925;41.3789245
Farmàcia Huguet;2.1190791;41.3758421
Farmàcia Rafael Capdevila Bassols;2.2363783;41.4507474
Farmàcia Teresa Monguió Soliva;2.2350019;41.4496435
Farmàcia Fuxà;2.238797;41.4518239
Farmàcia Laura Gómez Pérez;2.235258;41.4541966
Farmàcia Riba Serrano, M. i J.;2.1556003;41.3794256
Farmàcia Soldevila Selvas, Maria Engràcia;2.3663737;41.5248939
Farmàcia Diagonal 197;2.1912932;41.4041272
Farmàcia Esquerra Guixa, Ramon;2.1825205;41.4152692
Farmàcia Fusté Jubert, Sílvia;2.1796834;41.4153507
Farmàcia Nolla Winkel, Ingrid;2.1968957;41.4046053
;2.1941251;41.4053484
Farmàcia García del Cerro, Carolina;2.196638;41.4029829
Farmàcia Espel;2.0098655;41.3930305
Climent;2.2191251;41.5425798
Lafargue;2.2194312;41.5455735
Farmàcia Morales Martínez, Miquel;2.2032676;41.5476178
Rovirosa - Can Borrell;2.2049501;41.5457077
La Concepción;2.2075199;41.5481651
Farmàcia Muntanyeta;1.9748813;41.2813777
Farmàcia Mònica Galcerà Piñol;1.9669677;41.2656578
Farmàcia Gordo;1.9704877;41.2688337
Farmàcia Llados Tirado, Joan Ramon;1.9526823;41.2671443
Farmàcia Itarte Casanova, M.D/Belencoso Itarte,C.;1.9812044;41.2718203
Farmàcia Òscar Llansó Sánchez;2.7373446;41.647433
Farmàcia Àlvarez Pérez, E - Higueras Casares, JM;2.1737232;41.3931931
Farmàcia Martínez Caballero, Laura;2.1314631;41.3639249
Farmàcia Bandrés Lacambra;2.152678;41.3799006
Farmàcia - Lda. Concepció Font i Sanahuja;1.7087713;41.5194149
Farmàcia Guix Capdevila, Mònica Griselda;1.9427078;41.2662181
;2.7256664;41.6360805
Farmàcia Duran Pou, Joan;2.1741938;41.40992
Farmàcia Feriche Neddermann, Carles Josep;2.1925778;41.4519137
Farmàcia García López, Bertomeu - Corres Orué, JJ;1.9756795;41.2795772
Llda C. Casanovas Casado;2.1898093;41.4145634
Farmàcia Tenorio Ripoll, Maria Isabel;2.1737548;41.3797958
Farmàcia Marta Molina Casajuana;2.1491525;41.4201466
Farmàcia Fuentes Llobet, Joan;2.148935;41.4181211
Farmàcia Guarner Muñoz, Marta i Mercè;2.1477014;41.4151346
Farmàcia Audet Bonet, Gemma;2.1717121;41.4057048
Casanovas Baiget;2.1703443;41.4348417
Farmàcia Bonfill Planes, Clara;1.7040356;41.4508465
Farmàcia José Luís Faura Santmartí;2.135489;41.3815905
Farmàcia Olga Morancho Echevarría;2.087652;41.3209914
Farmàcia Pujol Cid, Joan Lluís;2.1795829;41.3800201
Farmàcia Marimon Puigmartí, Beatriz;2.1783411;41.3805617
Farmàcia Casanelles Martí, M. Teresa;2.1775538;41.380757
Farmàcia Vilaplana Comin, Joan;2.1796725;41.3807427
Farmàcia Colònia Güell;2.0221952;41.3682487
Farmàcia Romero Ruiz, M. Rosa;2.1792509;41.3844482
Farmàcia Gerard Planas Nogué;1.8096058;41.238638
Farmàcia Rives, Isabelle Marie Therese;2.162395;41.3828782
Farmàcia Renedo Igal, Gemma;2.1935309;41.3933052
Farmàcia Roset Estivill;1.8430061;42.0125471
Farmacia Vila;2.3976796;41.6402761
Farmacia Alba Comte;2.4041706;41.639657
Farmacia Perich;2.4021144;41.6383065
Farmàcia Faura Vendrell, Rosa M.;2.1878888;41.4147666
Farmàcia Blanch Boris, Maria Josep;2.1849973;41.4165696
Farmàcia Brillas Elias, Pere;2.1851236;41.4178191
Farmàcia Martínez Moreno, Joan;2.139365;41.4258909
Farmàcia Bañeres Merinero, Carolina Maria;2.1376299;41.4276783
Farmàcia Catalan Llobera, Jose Miguel;2.1671939;41.4023067
Farmacia Mª Piedad Marcoval Sant;2.0831909;41.3609375
Farmàcia Lavilla Biarge, Rodolf;2.1826364;41.4407244
Farmàcia Martínez Folch, Gonzalo;2.1847918;41.442791
Farmàcia Mimó i Callis, Lluís;2.2513465;41.7678313
Farmàcia Mª Luisa Romero Isla;2.0812135;41.3602517
Farmàcia de Cáceres Botello, José Ignacio;2.0892669;41.572842
Farmàcia Ramón Ventura Buxados;2.1745391;41.4341735
Farmàcia Jorba;2.0130728;41.3908866
Farmàcia Santos Marcos, Cristina;2.1448728;41.3808349
Farmàcia Ruiz Planas, Montse / Rafols Ruiz, Elena;1.6633159;41.3213
Farmàcia Jordi Cabezas Andreu;2.1221902;41.399105
Farmàcia Tabar;2.0102415;41.3946715
Farmàcia Bernabeu Balaña, I. Concepció;2.167877;41.3848853
Farmàcia Dalmau;2.2907029;41.604039
Farmàcia Farré Buxaderas, Josep;2.22813;41.8502908
Farmàcia Vilalla Buxaderas, A-Niguera Vilella, B;2.2286693;41.8475493
Farmàcia M. Clara Pujadas Gil;2.2211228;41.4416747
Farmacia Ribot;2.2055769;41.4363474
Farmàcia García Modrego, Enric;2.2041235;41.4376359
Farmàcia Sara Planas Aymà;2.519032;41.5664043
Farmàcia García-Vela Grau, Teresa;2.1616302;41.4038731
Farmàcia M.J. Feliu Enrich - F. Enrich Galbis;2.1639381;41.4031663
Farmàcia Quirós Bernal, M. Carme;2.1722369;41.4023747
Farmàcia Catalina Soler Gornals;2.1680051;41.4002511
Farmàcia Pérez Galdós;2.2174001;41.4384709
Farmàcia Ramón Mauri, Sergio;2.1713169;41.380776
Farmàcia Elisabeth Cases Nabau;2.0964859;41.3216417
Farmàcia Jaime Bofill, Íngrid;2.2291156;41.852988
Farmàcia Interapothek;2.1611211;41.4149632
Farmàcia Fernández Pradas, M. Teresa;2.1629952;41.4152094
Farmàcia Bañeres Merinero, David-Josep;2.1738067;41.4422825
Farmàcia Segarra March, F. - Segarra Guria, MD;2.1778147;41.4425049
Farmàcia Plana Mendo, Joan Josep;2.1933087;41.4122977
Farmàcia Anna Jené Domènech;2.0865052;41.3745809
Farmàcia Pallarés Lora C.B.;2.1619594;41.4140773
Farmàcia Díez Pérez, Marta;2.2057575;41.3994291
Farmàcia Malo Castan, Beatriz;2.1961975;41.3996416
Farmàcia Grimau Guardiola, Cristian;2.1946527;41.4099105
;2.1979298;41.4068534
Eva Maria Gil Mir;2.2121044;41.4455735
Farmàcia Jové Gascón, M. Rosa;2.1938763;41.4171648
Farmàcia Arizcun;1.7771473;41.2599231
Farmàcia Gonzalvo;1.7747133;41.2596035
Farmàcia Miret;1.7716076;41.2615583
Farmàcia Busquets Casso, Anna;1.7722028;41.2586535
Farmàcia Planas Lasa, Rómulo;2.199688;41.4053916
Farmàcia Alberdi Eurasquin, Iñigo;2.2073347;41.4086686
Farmàcia Estevez Luaña, Manuel;2.2028529;41.407045
L. Alejandre Bas;2.2030267;41.4096023
Farmàcia Bardina Cortés, Josep M.;2.1986425;41.4037283
Farmàcia Varela i Mato, Concepció;2.1949495;41.4069487
Farmàcia Garcia Forester, Pau;2.1947634;41.4086654
Farmàcia Moreu Reñé, Xavier;2.1984761;41.4135438
Farmàcia Brillas, M. - Trilla Reig, S.;2.196296;41.4151054
Montse Villar Merchán;2.2041058;41.3987464
Farmàcia Arbones, Rosa.M..- Braun, Joan;2.1997385;41.4027562
Farmàcia Moya Bort, M. Rosa;2.1881084;41.4073911
Farmàcia Maria Pilar Arranz Bayod - M.C. Sallés Arranz;2.1918632;41.4108485
Maria Teresa Peñafiel Vercher;2.1881449;41.4078827
Enric Ventura;2.1886483;41.4086119
Farmàcia Plana Mendo, F - Dato Quijada, MD;2.1889494;41.4093741
Farmàcia Gil Tudela, Eva;2.5127267;41.5800191
Farmàcia Anna Sunyer Bellido;2.1958873;41.3961937
Farmàcia Santed;2.225715;41.4410044
Farmàcia Barturen Echeverría, Begoña;2.1827564;41.3985508
Farmàcia Josep M. Morera Inglés;2.1790957;41.3918651
Farmacia Ortuño;2.2106526;41.4014705
Farmàcia Cuixart Llopis;2.2078181;41.4221871
Guipúscoa 69;2.19832;41.4175532
Farmàcia Giró Loperena, Jaume;2.2014915;41.4024113
Farmàcia M. Rosa Santaeugènia Geronés;2.2158403;41.413487
Farmàcia Jorge Trias Banyeres;2.1962962;41.4131435
Farmàcia Marcel Boquer Torrens;2.1374423;41.4104493
Farmàcia Gómez Nuñez, M. Teresa;2.1396257;41.4099882
Farmàcia Dominguez García, Anna Maria;2.1378629;41.4126396
Farmàcia Luís Daniel Giménez García;2.0861891;41.3713627
Farmàcia Vilamala Terricabras - Vilamala Llaveria;2.0833762;41.371846
Farmàcia Josep Maria Muntané Rodrigo;2.1904557;41.4161511
Farmàcia Belart Esquerrà, Albert;2.2105795;41.5388689
Farmàcia Helena Bertran Barberà;2.4254166;41.5406884
Farmàcia Jose Ramon Tico Grau;2.1882145;41.417563
Farmàcia Viver Fabregó. Francesc Xavier;2.0294073;42.008963
Farmàcia Serra;2.083346;41.3757929
Farmàcia de l'Estació;2.1407007;41.3796384
Farmàcia Les Piràmides;2.2194811;41.4361347
Farmàcia Medina;2.0054258;41.398485
;1.9866513;41.2833769
Farmàcia Rocamora Ramonet, Josep M.;1.9022725;41.5163585
Farmàcia Romero Reche, José;2.1923671;41.4089655
Llic. Carles Domingo Ortega;2.1939015;41.4142278
Farmàcia Pujol Vallés, M. Teresa;1.8987277;41.5195042
Farmàcia Santigosa Bosch, Núria;2.1873069;41.4108593
Farmàcia Jene;2.0864617;41.3773745
Farmàcia Andrés Perera, Anna M.;2.1879832;41.4130628
Farmàcia Granero San Martín, Esther Vanesa;2.1842705;41.396464
Farmàcia Sanjuan Ull, M. Carme;2.1852488;41.3969953
Farmàcia Soler Canudas, M. Dolores;2.2836528;41.9255937
Farmacia Subirats;2.4502011;41.550884
Farmàcia Ferrarons Girbau, Francesc;2.286217;41.6802882
Farmàcia Josefina Comaposada i Beringues;2.285402;41.6851853
Casellas;2.2151476;41.4327351
Farmàcia J. Arumí;2.2603126;41.9312092
Farmàcia Arroyo;2.0032718;41.390543
Farmàcia Bugie;2.0082069;41.3891368
Farmàcia Condal Espinal, Rosa Maria;2.1830542;41.3813166
Farmàcia Bellmunt Fernández, Elena;2.1517271;41.3940484
Farmàcia Esteban Boter, Margarita;2.1520711;41.3924661
Farmàcia C. Esquerrà Amargós;2.1314732;41.3815185
Farmàcia Mataró;2.2208697;41.7965211
Farmàcia Joan Carles Rodríguez Rubio;2.2282117;41.4377026
Farmàcia Cairó;2.2510148;41.4502569
Farmàcia Olímpic;2.2337324;41.4421515
Farmàcia Faura Monguió;2.2288637;41.4398617
Farmàcia Riera Alibés, Francisco;2.1667564;41.393373
Farmàcia Santamaria Griera, V. - Riba Genís, C.;2.1673056;41.39612
Internacional;2.1664908;41.3915476
Farmàcia March Puigoriol, Rosa M.;2.1673741;41.3973212
Farmàcia Xalabarder Torrents, Marc;2.1805047;41.3852883
Farmàcia Sentelles Monill, Anna;2.1813213;41.3861045
Farmàcia Reche Salmón, M. Cristina;2.2008083;41.4188722
farmàcia Anna Pou;2.2422366;41.9332418
Farmàcia Galup Russines, Mireia;2.1708452;41.3896811
